"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NUCKS1",-0.0163532175528931,3.69606467388985,-1.15595512063004,0.249076903499713,0.343895079302686,-6.71954235810964
"SPDYE2",-0.0163499967457831,-0.0114184451955286,-0.12787144525393,0.89837903980508,0.926423214324352,-7.37805211441053
"DCTN1",-0.0163490455154558,3.58001675070847,-1.49910884608295,0.13542033775222,0.204992129360351,-6.26750267116484
"C12orf35",-0.0163354930045543,3.44589445151246,-0.494162668598416,0.621732975601031,0.709953034019175,-7.26406574070737
"AIDA",0.016311482078923,3.37095702866107,0.993857061000586,0.321491955912114,0.424061294991491,-6.89298331804664
"OR1E2",0.0163019409125233,-0.0179968046635748,0.580872334710162,0.561979711204508,0.660317968541227,-7.21746925352219
"RBM12",-0.0162894082204863,3.41647896113028,-1.13337021824176,0.258413999352375,0.354334546880084,-6.74525684602476
"FBXW4",0.0162710410638236,3.40176715509331,0.790783790133036,0.430005788317636,0.536734801808021,-7.07367867965988
"WDR70",0.0162568747508218,3.20188304377408,0.933293446319548,0.351792515744313,0.456498872095026,-6.95114064313644
"OR8S1",0.0162536283816829,-0.0349795659516616,0.30711332329282,0.759076277040787,0.818339175630068,-7.339031977433
"AGPAT1",-0.0162483968642886,3.45378619251362,-1.10707700592936,0.269588811190691,0.366933383984828,-6.77456241498737
"ITM2C",0.0162482590125976,3.61609605938858,0.356368270067855,0.721940006551609,0.788969741961141,-7.32268138143749
"TBC1D14",-0.0162333829519086,3.37558225915203,-0.877577692316047,0.381224676864647,0.487533062353208,-7.00144185042412
"DUSP18",0.0162258699150937,2.77289735884776,0.433332517302482,0.665239665663889,0.746394460066427,-7.29227919708587
"LMF2",-0.0162127884484629,3.40423748463108,-0.752973614548536,0.452350129488122,0.558228149875384,-7.10281183278905
